name,ห้องน้ำ,ที่จอดรถ,รถเมล์,รถไฟฟ้า,อนุญาตสัตว์เลี้ยง,บาสเก็ตบอล,ปั่นจักรยาน,ฟิตเนส,ลานสเกตบอร์ด,สระว่ายน้ำ,แบดมินตัน,รองรับผู้สูงอายุและผู้พิการ,ให้สุนัขช่วยนำทางเข้าได้,กีฬาทางน้ำ นั่งเรือเป็ด,สนามเด็กเล่น,ลานกีฬา,กิจกรรมกลางแจ้ง,ยอดรวม
สวนเบญจกิติ,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,12
สวนวัชราภิรมย์,1,1,1,1,1,1,1,,,,1,,1,,1,1,1,12
สวนวชิรเบญจทัศ,,1,1,1,1,,1,,,1,,1,1,1,1,1,,11
สวนธนบุรีรมย์,1,1,1,,,,,1,,,,,1,,1,1,1,8
สวนเทียนทะเลพัฒนาพฤกษาภิรมย์,1,1,1,,1,,1,,,,,1,1,,1,1,,9
สวนบางแคภิรมย์,1,1,1,,1,1,,1,,,,,1,,1,,1,9
สวนเฉลิมพระเกียรติพระบาทสมเด็จพระเจ้าอยู่หัว พระชนมพรรษา 7 รอบ,1,1,1,,,,1,1,,,,,1,,1,1,1,9
สวนลุมพินี,1,1,1,,,,1,1,,,,,1,1,1,,1,9
สวนสาธารณะศูนย์กีฬาบึงหนองบอน,1,1,1,,1,,1,1,,,,,1,1,,1,,9
สวนพระนคร,1,1,,,1,,1,,,1,,,1,,1,1,1,9
อุทยานเบญจสิริ,1,1,1,1,,,,,,,,,1,,1,1,,7
สวนรมณีย์ทุ่งสีกัน,,1,1,,,,,1,,,,1,1,,1,1,,7
สวนเฉลิมพระเกียรติ 80 พรรษา พระบาทสมเด็จพระเจ้าอยู่หัว (บางกอกน้อย),1,1,1,1,,,,,,,,,1,,1,1,,7
สวนเสรีไทย,1,1,1,,,,1,,,,,,,,1,1,1,7
สวนรมณีนาถ,1,,,,,,,1,,,1,,1,,1,1,1,7
สวนวารีภิรมย์,1,1,1,,,,,,,,,,1,,1,1,,6
สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,1,1,1,1,,,,,,,,1,1,,,,,6
สวนป่าทางต่างระดับรัชดาภิเษก-วิภาวดีรังสิต,1,1,1,,,1,,,,,,,1,,,1,,6
สวนสาธารณะทางต่างระดับถนนพรานนก,1,1,1,,1,,,,,,,,1,,,1,,6
สวนทวีวนารมย์,,,1,1,,1,,,,,,,,,1,1,1,6
สวนกีฬารามอินทรา,1,1,,,,,1,,,,,,,,1,1,1,6
สวนหลวงพระราม 8,1,,1,,,,,1,1,,,,,,1,,1,6
สวนหลวง ร.9,1,1,1,,,,1,,,,,,,1,,,1,6
สวน60พรรษาสมเด็จพระบรมราชินีนาถ,1,1,,,,1,1,,,,,,,,,1,1,6
สวนสิริภิรมย์,1,1,1,,,,,,,,,,1,,1,,,5
สวนจตุจักร,1,,1,1,,,,,,,,1,1,,,,,5
สวนสิรินธราพฤกษาพรรณ,1,1,1,,,,,,,,,,,,1,1,,5
สวนปิยะภิรมย์,,,1,1,,,,,,,,,1,,1,1,,5
สวนนวมินทร์ภิรมย์,1,1,1,,,1,,,,,,,,,,,1,5
สวนสาธารณะเฉลิมพระเกียรติพระบาทสมเด็จฯ80พรรษา,1,1,1,,,,,1,,,,,,,1,,,5
สวนป่าประชานิเวศน์ (หมู่บ้านประชานิเวศน์),1,1,1,,1,,,,,,,,,,,,,4
สวนป่าวิภาวดีรังสิต,1,1,1,,1,,,,,,,,,,,,,4
สวนทวีกาญจนาภิเษก,1,,,,,,,,1,,,,,,1,1,,4
สนามหลวง,1,1,1,,,,1,,,,,,,,,,,4
สวนสันติภาพ,1,,1,,,,,1,,,,,,,1,,,4
สวนสาธารณะบึงน้ำลาดพร้าว 71,1,1,1,,,,,,,,,,,,1,,,4
สวนสมเด็จย่า 84,,,1,1,,,,,,,,,,,,1,,3
สวนจรัญภิรมย์,1,,1,,,,,,,,,,,,1,,,3
สวนวนธรรม,1,1,,,,,,1,,,,,,,,,,3
สวน 50 พรรษา มหาจักรีสิรินธร,1,1,1,,,,,,,,,,,,,,,3
สวนสราญรมย์,1,1,1,,,,,,,,,,,,,,,3
สวนพระยาภิรมย์,1,1,,,,,,,,,,,,,1,,,3
สวนบึงกระเทียม,1,,1,,,,,,,,,,,,1,,,3
สวนป้อมมหากาฬ,1,1,,,,,,,,,,,,,,,,2
สวนลอยฟ้าเจ้าพระยา,,,,,,,1,,,,,1,,,,,,2
ลานคนเมือง ศาลาว่ากลางกรุงเทพ,1,,,,,,,,,,,,,,,,,1
สวนจากภูผาสู่มหานที,,,,,,,,,,,,,,,,,,0
